Nome,Idade,Salario,Estado,Data_Admissao,Cargo
Maria Souza,19.0,139490,Rio de Janeiro,03/07/2020,Técnico
Bruno Almeida,20.0,22880,São Paulo,08/10/2020,Técnico
Bruno Almeida,32.0,91590,Santa Catarina,27/01/2018,Gerente
Juliana Santos,24.0,33190,Minas Gerais,10/01/2022,Analista
Bruno Almeida,23.0,108440,São Paulo,08/12/2024,Cientista de Dados
Carlos Oliveira,23.0,56140,São Paulo,12/02/2021,Estagiário
Carlos Oliveira,62.0,129990,São Paulo,13/02/2025,Desenvolvedor
Lucas Pereira,32.0,130160,Minas Gerais,27/07/2020,Analista
Camila Martins,63.0,69550,RJ,07/08/2023,Cientista de Dados
Lucas Pereira,52.0,61040,Santa Catarina,18/07/2024,Estagiário
Lucas Pereira,18.0,129450,São Paulo,09/01/2024,Cientista de Dados
João Silva,64.0,135910,Rio de Janeiro,01/02/2020,Desenvolvedor
Camila Martins,30.0,43040,Minas Gerais,19/01/2024,Técnico
Pedro Lima,26.0,126090,Paraná,08/11/2019,Desenvolvedor
Ana Costa,63.0,69070,Minas Gerais,15/04/2025,Cientista de Dados
Maria Souza,50.0,56990,Rio de Janeiro,12/06/2023,Cientista de Dados
Ana Costa,48.0,84690,RJ,02/02/2019,Analista
Maria Souza,21.0,83960,Minas Gerais,15/10/2020,Analista
Ana Costa,22.0,90600,Bahia,27/07/2018,Analista
Ana Costa,28.0,84580,São Paulo,25/05/2020,Estagiário
Fernanda Rocha,36.0,87300,Bahia,21/01/2026,Cientista de Dados
Lucas Pereira,21.0,140540,Minas Gerais,25/07/2018,Analista
Lucas Pereira,23.0,48440,São Paulo,10/06/2018,Desenvolvedor
Camila Martins,56.0,24510,Santa Catarina,14/09/2022,Analista
Juliana Santos,33.0,61510,Minas Gerais,14/07/2025,Técnico
Fernanda Rocha,57.0,110240,São Paulo,12/01/2024,Analista
Ana Costa,41.0,64690,São Paulo,02/04/2024,Estagiário
Lucas Pereira,37.0,126680,São Paulo,19/12/2020,Técnico
Ana Costa,63.0,74170,RJ,10/02/2025,Cientista de Dados
Bruno Almeida,35.0,25220,São Paulo,20/06/2019,Gerente
Carlos Oliveira,41.0,148430,São Paulo,05/10/2020,Gerente
Bruno Almeida,57.0,140790,São Paulo,28/10/2019,Técnico
Bruno Almeida,60.0,138430,RJ,15/10/2019,Gerente
Fernanda Rocha,40.0,68000,RJ,04/07/2018,Técnico
Carlos Oliveira,40.0,123100,Bahia,15/08/2025,Estagiário
Camila Martins,34.0,24260,São Paulo,15/11/2022,Desenvolvedor
Ana Costa,41.0,88660,São Paulo,14/09/2021,Cientista de Dados
Carlos Oliveira,60.0,84910,Minas Gerais,26/10/2025,Estagiário
Pedro Lima,57.0,111240,Rio de Janeiro,23/02/2024,Estagiário
Juliana Santos,47.0,90380,Paraná,25/05/2020,Cientista de Dados
  Maria Souza  ,36.0,102450,Santa Catarina,18/01/2019,Gerente
Ana Costa,48.0,118150,São Paulo,25/08/2022,Estagiário
Pedro Lima,59.0,130660,São Paulo,08/10/2022,Analista
Ana Costa,25.0,92780,São Paulo,27/06/2025,Estagiário
Camila Martins,64.0,100700,Minas Gerais,01/01/2023,Desenvolvedor
Carlos Oliveira,51.0,97390,RJ,07/12/2022,Gerente
Bruno Almeida,44.0,106180,São Paulo,22/06/2020,Desenvolvedor
Bruno Almeida,26.0,93640,São Paulo,01/12/2020,Analista
Carlos Oliveira,44.0,59330,São Paulo,21/03/2018,Estagiário
João Silva,19.0,58510,RJ,19/12/2024,Analista
Fernanda Rocha,62.0,59980,Minas Gerais,17/10/2024,Técnico
Carlos Oliveira,24.0,112810,São Paulo,16/06/2024,Gerente
Camila Martins,62.0,120760,RJ,26/10/2025,Analista
João Silva,40.0,105280,Minas Gerais,26/02/2022,Cientista de Dados
Maria Souza,45.0,77340,Paraná,19/09/2019,Cientista de Dados
Lucas Pereira,48.0,94160,Minas Gerais,23/08/2024,Cientista de Dados
Fernanda Rocha,33.0,140950,Paraná,11/04/2024,Desenvolvedor
Ana Costa,40.0,148710,São Paulo,19/02/2021,Gerente
Maria Souza,33.0,135970,Minas Gerais,24/03/2024,Estagiário
Maria Souza,36.0,54300,Minas Gerais,23/09/2020,Cientista de Dados
Lucas Pereira,39.0,75640,Paraná,09/06/2021,Gerente
Pedro Lima,30.0,53450,Paraná,15/02/2026,Gerente
Ana Costa,36.0,55270,São Paulo,23/05/2021,Técnico
Carlos Oliveira,62.0,38680,Paraná,20/02/2018,Analista
Carlos Oliveira,48.0,36690,São Paulo,08/07/2023,Estagiário
